商品名稱,糖,反式脂肪,碳水化合物,鈉,脂肪,飽和脂肪,蛋白質
蔬食鮪魚飯糰(植覺生活),1.2 公克,0 公克,35 公克,376 毫克,3.4 公克,0.9 公克,4.5 公克
鹽蔥燒肉飯糰,0 公克,0 公克,30.8 公克,349 毫克,3.2 公克,0.6 公克,5.7 公克
星-鮪魚飯糰,0.8 公克,0 公克,32 公克,195 毫克,4.3 公克,0.8 公克,5 公克
星-明太子龍蝦風味沙拉飯糰,1.4 公克,0 公克,34.7 公克,344 毫克,6 公克,1 公克,4.5 公克
星-經典肉鬆飯糰,2.9 公克,0 公克,41.4 公克,294 毫克,5.7 公克,1.4 公克,5.6 公克
星-雞肉飯飯糰,1.1 公克,0 公克,32.3 公克,294 毫克,3.5 公克,0.5 公克,5.1 公克
熟成紅鮭飯糰,0 公克,0 公克,31 公克,384 毫克,2 公克,0.3 公克,5.2 公克
北海道秋鮭親子飯糰,0.6 公克,0 公克,31.3 公克,305 毫克,5.2 公克,0.7 公克,4.6 公克
壹號醬炙烤牛飯糰,3.8 公克,0 公克,36.5 公克,396 毫克,2.8 公克,0.9 公克,4.7 公克
芝麻香鬆飯糰(植覺生活),7.5 公克,0 公克,41.5 公克,244 毫克,6.6 公克,1.1 公克,5.7 公克
麻油雞飯糰,1.4 公克,0 公克,44.7 公克,829 毫克,11.2 公克,2.4 公克,9.9 公克
大口歐風漢堡排佐焙煎咖哩飯糰,0 公克,0 公克,53.2 公克,595 毫克,13.6 公克,5.9 公克,13.2 公克
明太子鹽烤赤魚飯糰,0 公克,0 公克,30.7 公克,264 毫克,1.4 公克,0.6 公克,5.6 公克
碳烤燒肉飯飯糰,2.2 公克,0 公克,33.6 公克,338 毫克,2.9 公克,0.9 公克,5.8 公克
大飯糰金絲雪蟹蟹膏,0 公克,0 公克,39.7 公克,265 毫克,7.6 公克,2 公克,5.4 公克
大飯糰韓式泡菜辣豚肉,0.7 公克,0 公克,41.9 公克,375 毫克,3.1 公克,1.1 公克,5.6 公克
大口蒜味香腸燒肉雙拼飯糰,3.3 公克,0 公克,61.9 公克,1023 毫克,10.5 公克,3.1 公克,12.7 公克
大口宮保雞丁飯糰,4.5 公克,0 公克,63.8 公克,995 毫克,5.8 公克,1.8 公克,9.8 公克
淡麗清酒蒸蛤蜊烤飯糰,0 公克,0 公克,33 公克,349 毫克,2.6 公克,0.8 公克,5.3 公克
鮭魚炙燒明太子烤飯糰,1.7 公克,0 公克,31.9 公克,332 毫克,4.1 公克,1.3 公克,4.5 公克
糖燻野郎炙燒牛烤飯糰,4.7 公克,0 公克,38.3 公克,424 毫克,3.5 公克,1.3 公克,4.9 公克
大口義式香草雞腿排飯糰,1.5 公克,0 公克,45.6 公克,818 毫克,12.4 公克,3.8 公克,15.8 公克
大口法式蕈菇起司雞排飯糰,1.3 公克,0 公克,46.6 公克,782 毫克,17.2 公克,5.5 公克,18.2 公克
大口蔥油雞飯糰,0 公克,0 公克,54.6 公克,579 毫克,5.7 公克,2 公克,10.5 公克
鮭魚野菜昆布炊飯飯糰,1.3 公克,0 公克,36.1 公克,524 毫克,0.9 公克,0.4 公克,4.6 公克
傳香滷肉飯飯糰,1.2 公克,0 公克,32.8 公克,379 毫克,2.9 公克,1 公克,5.8 公克
熟成明太子飯糰,0.6 公克,0 公克,30.5 公克,285 毫克,2 公克,0.6 公克,3.9 公克
煸椒牛肉烤飯糰,1.5 公克,0 公克,35.7 公克,330 毫克,2 公克,0.8 公克,4.7 公克
來一客牛肉蔬菜杯麵,37.4 公克,7.1 公克,14 公克,6.6 公克,0 公克,1798 毫克,1.6 公克
來一客鮮蝦魚板杯麵,37.6 公克,7 公克,12.7 公克,5.5 公克,0 公克,1419 毫克,2.5 公克
來一客京燉排骨麵,41.7 公克,7.6 公克,16.3 公克,7.6 公克,0 公克,1517 毫克,3.6 公克
蔥鹽豬五花烤飯糰,36.5 公克,5.6 公克,6.2 公克,1.6 公克,0 公克,340 毫克,1.5 公克
星-健身G肉餐盒(健康志向),66.6 公克,30 公克,10.4 公克,3.1 公克,0 公克,554 毫克,0 公克
星-烤蛋白餐盒(健康志向),57.5 公克,28.2 公克,10.6 公克,2.7 公克,0 公克,598 毫克,3.1 公克
星-美式雞丁餐盒(健康志向),61.6 公克,26.5 公克,11.1 公克,3.2 公克,0 公克,709 毫克,1.8 公克
黑胡椒豬柳多彩纖蔬餐盒,67.3 公克,11.5 公克,8 公克,2.1 公克,0 公克,736 毫克,10.8 公克
鐵板黑胡椒嫩雞胸,0.3 公克,24 公克,2.1 公克,0.4 公克,0 公克,473.1 毫克,0 公克
秘香椒麻嫩雞胸,3.8 公克,29 公克,1.9 公克,0.5 公克,0 公克,571 毫克,3.7 公克
泰式香檸嫩雞胸,1.8 公克,24.5 公克,1.8 公克,0.4 公克,0 公克,489.7 毫克,1.5 公克
古早味香滷嫩雞胸,4.3 公克,28.1 公克,0.7 公克,0.1 公克,0 公克,448.4 毫克,3.4 公克
肉骨茶風味嫩雞胸,2.7 公克,20.3 公克,2 公克,0.5 公克,0 公克,445 毫克,0.9 公克
法式香草嫩雞胸,2.3 公克,20.8 公克,1.5 公克,0.6 公克,0 公克,571 毫克,0 公克
香蔥經典嫩雞胸,4.14 公克,22.4 公克,5.3 公克,0.7 公克,0 公克,563 毫克,1.4 公克
義式經典嫩雞胸,1.5 公克,21.7 公克,3 公克,0.6 公克,0 公克,481 毫克,1.3 公克
轟炸椒麻辣雞胸,10.5 公克,14.2 公克,11.3 公克,4.8 公克,0 公克,581 毫克,1 公克
光泉無加糖優酪乳,26.2 公克,8 公克,1.2 公克,0.6 公克,0 公克,100 毫克,15 公克
LP33無加糖機能優酪乳,15 公克,6.6 公克,1.6 公克,1 公克,0 公克,104 毫克,9 公克
牧場直送4.0無加糖濃醇優酪乳,7.5 公克,2.8 公克,2 公克,1.3 公克,0 公克,32 毫克,5.8 公克
AB優酪乳原味,21.8 公克,6.2 公克,1.2 公克,0.8 公克,0 公克,103 毫克,17.7 公克
光泉香濃牛奶優酪乳,16.6 公克,7 公克,5 公克,2.6 公克,0 公克,102 毫克,13.8 公克
AB草莓優酪乳,27.4 公克,5.6 公克,1.2 公克,0.8 公克,0 公克,91 毫克,23.3 公克
自然零無加糖優酪乳,17.2 公克,7.6 公克,2.1 公克,1.5 公克,0 公克,99 毫克,9.7 公克
光泉草莓綜合優酪乳,21.2 公克,4.6 公克,2 公克,1.2 公克,0 公克,82 毫克,18.2 公克
LP33機能優酪乳,19.6 公克,4.8 公克,1 公克,0.6 公克,0 公克,104 毫克,17 公克
AB優酪乳無加糖,17.3 公克,6.4 公克,2.7 公克,1.6 公克,0 公克,107 毫克,9.5 公克
光泉高鈣鮮豆漿,18.4 公克,15.3 公克,7.6 公克,1.8 公克,0 公克,58 毫克,12.6 公克
光泉燕麥高纖無加糖鮮豆漿,18 公克,14.4 公克,8.1 公克,1.4 公克,0 公克,162 毫克,2.2 公克
大醇豆低糖豆漿,13.1 公克,15.8 公克,8.6 公克,1.5 公克,0 公克,56 毫克,8.6 公克
大醇豆無加糖豆漿,5.6 公克,15.8 公克,8.6 公克,1.5 公克,0 公克,56 毫克,2.3 公克
桂格顆粒豆漿燕麥,14.5 公克,6.1 公克,3.5 公克,0.6 公克,0 公克,14 毫克,7 公克
光泉鮮豆漿,24.4 公克,15.2 公克,8 公克,1.2 公克,0 公克,72 毫克,20.8 公克
統一陽光無糖高纖豆漿,3.5 公克,3.4 公克,1.9 公克,0.3 公克,0 公克,22 毫克,0.8 公克
光泉無加糖鮮豆漿,6.4 公克,13.6 公克,7.2 公克,1.2 公克,0 公克,44 毫克,2.8 公克
統一陽光黃金豆豆漿,6.4 公克,3.5 公克,2.1 公克,0.4 公克,0 公克,27 毫克,4.8 公克
統一陽光低糖高纖豆漿,5.1 公克,3.4 公克,1.9 公克,0.3 公克,0 公克,22 毫克,2.5 公克
光泉黑芝麻鮮豆漿,30 公克,9.6 公克,8 公克,1.6 公克,0 公克,52 毫克,22 公克
光泉無加糖黑豆漿,5.2 公克,14 公克,7.2 公克,1.2 公克,0 公克,56 毫克,2 公克
光泉無加糖濃豆漿,7.9 公克,19.1 公克,9.8 公克,1.9 公克,0 公克,60 毫克,2.6 公克
光泉無加糖濃黑豆漿,11.6 公克,19.1 公克,9.8 公克,1.9 公克,0 公克,60 毫克,3.8 公克
豆豆鮮生黑芝麻熬豆漿,13.8 公克,9 公克,7.6 公克,1.2 公克,0 公克,20.2 毫克,10.4 公克
豆豆鮮生原味熬豆漿,11.7 公克,12.9 公克,8.7 公克,1.4 公克,0 公克,22.5 毫克,6.9 公克
義美無加糖高纖燕麥奶,29.6 公克,5.3 公克,4.1 公克,1 公克,0 公克,63 毫克,18.8 公克
愛之味蜂蜜燕麥,24.1 公克,2 公克,4.9 公克,0.6 公克,0 公克,26 毫克,18.6 公克
Oat Ya高纖燕麥奶,37.9 公克,4.1 公克,9.4 公克,1.1 公克,0 公克,28.5 毫克,17.6 公克
光泉紫米燕麥糙米漿,35.6 公克,4.1 公克,4.9 公克,1.1 公克,0 公克,68 毫克,22.1 公克
優意思牛奶燕麥優格飲,20.9 公克,8.2 公克,2.6 公克,1.4 公克,0 公克,90 毫克,18.5 公克
愛之味黑巧燕麥飲,22.9 公克,4.4 公克,9.3 公克,1.5 公克,0 公克,84 毫克,15.1 公克
桂格燕麥堅果王,20.6 公克,3.5 公克,2.9 公克,0.6 公克,0 公克,12 毫克,16.8 公克
光泉燕麥奶,34.5 公克,6 公克,4.9 公克,1.1 公克,0 公克,195 毫克,16.9 公克
愛之味純濃燕麥天然原味,24.1 公克,4.1 公克,2.9 公克,0.6 公克,0 公克,58 毫克,12.8 公克
桂格100%喝的燕麥,22.9 公克,3.8 公克,2.9 公克,0.6 公克,0 公克,41 毫克,18.3 公克
桂格顆粒燕麥,21.5 公克,3.8 公克,3.2 公克,0.6 公克,0 公克,20 毫克,16.8 公克
義美無加糖燕麥全豆豆奶,30.2 公克,6.5 公克,3.7 公克,0.6 公克,0 公克,16.8 毫克,7.4 公克
星-青檸烤雞握沙拉,26.3 公克,10.7 公克,8.2 公克,1.5 公克,0 公克,590 毫克,9.4 公克
莎莎烤雞麵沙拉,36 公克,11.1 公克,5.5 公克,1.1 公克,0 公克,871 毫克,10.8 公克
海藻野菜沙拉,5.3 公克,1.6 公克,0 公克,0 公克,0 公克,73.8 毫克,1.4 公克
